,X,all.hits.sp.Mycop.entry,all.hits.sp.Mycop.plant,id,institutionCode,collectionCode,occurrenceID,basisOfRecord,scientificName,genus,taxonID,taxonRank,occurrenceRemarks,habitat,associatedOccurrences,associatedTaxa,substrate,recordId,country,db,match.number,match.name,new.ID,namecheck.db,score
2974,219436,219436,Pinus elliotti,2330868,ARIZ,,48ffa85b-f8db-46e2-b6eb-b896e34e04a2,PreservedSpecimen,Trechispora,Trechispora,10483,Genus,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:48ffa85b-f8db-46e2-b6eb-b896e34e04a2,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2975,219445,219445,Pinus elliotti,2330859,ARIZ,,3fb6f2b9-6045-4f3f-802b-4aa358c198f9,PreservedSpecimen,Trechispora,Trechispora,10483,Genus,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:3fb6f2b9-6045-4f3f-802b-4aa358c198f9,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2976,219453,219453,Pinus elliotti,2330851,ARIZ,,b8cceb19-3df0-4a44-bd97-da9b5a6c123a,PreservedSpecimen,Trechispora,Trechispora,10483,Genus,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:b8cceb19-3df0-4a44-bd97-da9b5a6c123a,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2977,219874,219874,Pinus elliotti,2330428,ARIZ,,7a91c21c-308a-4066-991b-260c6b8ceb0a,PreservedSpecimen,Trechispora farinacea,Trechispora,189978,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:7a91c21c-308a-4066-991b-260c6b8ceb0a,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2978,220245,220245,Pinus elliotti,2330057,ARIZ,,3998eb84-4eb1-4f1a-81c1-a6a461bffb53,PreservedSpecimen,Trechispora farinacea,Trechispora,189978,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:3998eb84-4eb1-4f1a-81c1-a6a461bffb53,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2979,220503,220503,Pinus elliotti,2329799,ARIZ,,8c383459-7dad-48ef-a021-ce9321f93656,PreservedSpecimen,Trechispora farinacea,Trechispora,189978,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:8c383459-7dad-48ef-a021-ce9321f93656,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2983,224900,224900,Pinus elliotti,2325372,ARIZ,,a99c9863-1573-44e4-a28a-11d12bc24449,PreservedSpecimen,Trichaptum abietinum,Trichaptum,190012,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:a99c9863-1573-44e4-a28a-11d12bc24449,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2984,224903,224903,Pinus elliotti,2325369,ARIZ,,60a70f35-03ab-463d-9c3c-36a83417e2a8,PreservedSpecimen,Trichaptum abietinum,Trichaptum,190012,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:60a70f35-03ab-463d-9c3c-36a83417e2a8,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2985,224846,224846,Pinus elliotti,2325426,ARIZ,,985401c9-e3c6-4f49-8951-8333f43d8339,PreservedSpecimen,Trichaptum fuscoviolaceum,Trichaptum,190015,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:985401c9-e3c6-4f49-8951-8333f43d8339,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
3005,219293,219293,Pinus elliotti,2331011,ARIZ,,d8154a4d-b94e-40db-8246-8ba8cb2fcf2b,PreservedSpecimen,Tubulicrinis,Tubulicrinis,19245,Genus,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:d8154a4d-b94e-40db-8246-8ba8cb2fcf2b,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
