,spec.name,Old.name,scientificName,Fuzzy.dist,taxonRank,taxonomicStatus,manual name,manual.auth
176,Rhamnus discoloris,Rhamnus discolor,Frangula discolor,2,species,Accepted,,
177,Rhamnus discoloris,Rhamnus discolor,Frangula discolor,2,species,Accepted,,
506,Rhaphanns sativus,Raphanus sativus,Raphanus raphanistrum  subsp. sativus,2,subspecies,Accepted,,
156,Rhus copallinae,,Rhus copallinum,2,species,Accepted,,
331,Rhus radicantis,Rhus radicans,Toxicodendron radicans,2,species,Accepted,,
853,Ribes nigrae,,Ribes nigrum,2,species,Accepted,,
1013,Ribes rubrae,,Ribes rubrum,2,species,Accepted,,
1014,Ribes rubrae,,Ribes rubrum,2,species,Accepted,,
182,Ricini communis,,Ricinus communis,2,species,Accepted,,
665,Rubris strigosus,Rubus strigosus,Rubus idaeus  subsp. strigosus,2,subspecies,Accepted,,
83,Rubus glandulicola,Rubus glandulifolius,Rubus odoratus,4,species,Accepted,,
30,Rubus infestans,Rubus infestus,Rubus infestior,2,species,Accepted,,
403,Rubus setchuensis,,Rubus setchuenensis,2,species,Accepted,,
474,Rubus urticaefolius,,Rubus urticifolius,2,species,Accepted,,
857,Rueilla ciliosa,Ruellia ciliosa,Ruellia caroliniensis  subsp. ciliosa,2,subspecies,Accepted,,
314,Sabalis serrulata,Sabal serrulata,Serenoa repens,2,species,Accepted,,
315,Sabalis serrulatae,Sabal speciosa,Sabal minor,10,species,Accepted,,
989,Saccharina officinale,Saccharum officinale,Saccharum officinarum,3,species,Accepted,,
322,Sagittaria sagittaefolia,,Sagittaria sagittifolia,2,species,Accepted,,
298,Salex albae,,Salix alba,2,species,Accepted,,
925,Salice purpurea,,Salix purpurea,2,species,Accepted,,
858,Salvia glechomaefolia,,Salvia glechomifolia,2,species,Accepted,,
704,Saniculum bipinnatifida,,Sanicula bipinnatifida,2,species,Accepted,,
861,Saxifagra granulata,,Saxifraga granulata,2,species,Accepted,,
790,Saxipragae virginiensis,Saxifraga virginiensis,Micranthes virginiensis,2,species,Accepted,,
1152,Serataria glauca,Setaria glauca,Cenchrus americanus,2,species,Accepted,,
783,Shepardia canadensis,,Shepherdia canadensis,2,species,Accepted,,
160,Sicya angulatus,,Sicyos angulatus,2,species,Accepted,,
865,Sidae acutae,,Sida acuta,2,species,Accepted,,
820,Sidae spinosae,,Sida spinosa,2,species,Accepted,,
57,Sinapidis arvensis,,Sinapis arvensis,2,species,Accepted,,
58,Sisymbria officinale,,Sisymbrium officinale,2,species,Accepted,,
189,Sium cicutaefolium,Sium cicutifolium,Sium suave,2,species,Accepted,,
1051,Slex aquifolium,,Ilex aquifolium,1,species,Accepted,,
821,Solmiaea menziesii,,Tolmiea menziesii,2,species,Accepted,,
971,Sonchus asperis,Sonchus asper,Sonchus asper,2,species,Accepted,,
959,Sorbi torminalis,,Sorbus torminalis,2,species,Accepted,,
296,Spirea tomentosa,,Spiraea tomentosa,1,species,Accepted,,
193,Spomaea pandurata,,Ipomoea pandurata,2,species,Accepted,,
246,Spondea lutea,Spondias lutea,Spondias mombin,2,species,Accepted,,
370,Stachup palustris,,Stachys palustris,2,species,Accepted,,
1057,Steiroma ciliatum,Steironema ciliatum,Lysimachia ciliata,2,species,Accepted,,
494,Symphocaripos occidentalis,,Symphoricarpos occidentalis,3,species,Accepted,,
191,Symphocarpus racemosus,Symphoricarpos racemosus,Symphoricarpos albus,3,species,Accepted,,
15,Symphoricapri vulgaris,,Symphoricarpos vulgaris,3,species,Unchecked,,
253,Symphoricarpos orbicularis,,Symphoricarpos orbiculatus,2,species,Accepted,,
192,Symplocarpi foetidae,,Symplocarpus,10,genus,Accepted,,Symplocarpus foetidus
978,Symploci tinctoriae,,Symplocos,11,genus,Accepted,,Symplocos tinctoria
264,Taeonia herbacea,,Tetragonia herbacea,4,species,Accepted,,
867,Taraxaci officinalis,,Taraxacum,13,genus,Accepted,,Taraxacum officinale
898,Taraxicum dens,,Taraxacum dentex,4,species,Accepted,,
822,Taraxium vulgare,,Taraxacum vulgare,2,species,Unchecked,,
823,Taraxium vulgare,,Taraxacum vulgare,2,species,Unchecked,,
277,Taxodii distichi,,Taxodium,10,genus,Accepted,,
205,Tectoniae grandis,,Tectona grandis,2,species,Accepted,,
660,Tetrapanax papyriferum,,Tetrapanax papyrifer,2,species,Accepted,,
47,Thalictgri anemonoides,Thalictrum anemonoides,Anemonella thalictroides,3,species,Accepted,,
1093,Thalictrum alpini,,Thalictrum alpinum,2,species,Accepted,,
1094,Thalictrum alpini,Thalictrum albinii,Thalictrum speciosissimum  subsp. albini,2,subspecies,Accepted,,
366,Thalictrum anemoides,Thalictrum anemonoides,Anemonella thalictroides,2,species,Accepted,,
48,Thalictrum minoris,,Thalictrum morisonii,5,species,Accepted,,
708,Thaxinus pennsylvanica,,Fraxinus pennsylvanica,2,species,Accepted,,
437,Thespia populnea,,Thespesia populnea,2,species,Accepted,,
303,Thuya occidentalis,,Thuja occidentalis,1,species,Accepted,,
798,Tithonia tubiformis,,Tithonia tubaeformis,2,species,Accepted,,
202,Tragopogi pratensis,,Tragopogon pratensis,2,species,Accepted,,
1135,Trifolium repentis,,Trifolium repens,2,species,Accepted,,
1095,Trigonella foenum-graceum,,Trigonella foenum-graecum,2,species,Accepted,,
646,Tysanocarpa amplectens,Thysanocarpus amplectens,Thysanocarpus curvipes  subsp. amplectens,3,subspecies,Accepted,,
736,Urticae urentis,Urtica urentissima,Urtica spathulata,5,species,Accepted,,
725,Vaccinium myrtilli,,Vaccinium myrtillus,2,species,Accepted,,
527,Vaccinum vitus,,Vaccinium vitis-idaea,8,species,Accepted,,
14,Venguria spinosa,Vangueria spinosa,Meyna spinosa,2,species,Accepted,,
371,Verbeseria alternifolia,,Verbesina alternifolia,3,species,Accepted,,
372,Verbeseria alternifolia,Verbesina alternifolia,Verbesina robinsonii,3,species,Accepted,,
222,Vernon noveboracensis,,Vernonia noveboracensis,2,species,Accepted,,
864,Vernonia alamani,,Vernonia alamanii,1,species,Accepted,,
82,Vernoniae patentis,,Vernonia patentissima,5,species,Accepted,,
169,Vernoula baldwinii,,Vernonia baldwinii,2,species,Accepted,,
1002,Veronica capsulis,,Veronica,9,genus,Accepted,,
