Family,ScientificName,ScientificNameAuthorship,Notes,TaxonId
ARTHONIACEAE,"Crypthonia sp.","Frisch & G. Thor","New or reinstated (Frisch & Thor 2010)., Molecular: Yes., source: Frisch & Thor 2010",257430
ARTHONIACEAE,"Cryptophaea sp.","Van den Broeck & Ertz","New or reinstated (Van den Broeck & Ertz 2016)., Molecular: Yes., source: Van den Broeck & Ertz 2016",262107
ARTHONIACEAE,"Cryptothecia sp.",Stirt.,"No change., Molecular: Yes.",51829
ARTHONIACEAE,"Eremothecella sp.","Syd. & P. Syd.","No change., Molecular: No.",145880
ARTHONIACEAE,"Glomerulophoron sp.","Frisch, Ertz & G. Thor","New or reinstated (Frisch et al. 2015)., Molecular: Yes., source: Frisch et al. 2015",262110
ARTHONIACEAE,"Herpothallon sp.",Tobler,"No change., Molecular: Yes.",65077
ARTHONIACEAE,"Inoderma sp.","(Ach.) Gray","New or reinstated (Frisch et al. 2015)., Molecular: Yes., source: Frisch et al. 2015",235521
ARTHONIACEAE,"Leprantha sp.","Dufour ex Körb.","New or reinstated (Sundin et al. 2012)., Molecular: No., source: Sundin et al. 2012",159257
ARTHONIACEAE,"Myriostigma sp.",Kremp.,"New or reinstated (Frisch et al. 2014a; Jagadeesh Ram & Sinha 2016)., Molecular: Yes., source: Frisch et al. 2014a; Jagadeesh Ram & Sinha 2016",163005
ARTHONIACEAE,"Pachnolepia sp.",A.Massal.,"New or reinstated (Frisch et al. 2014a)., Molecular: Yes., source: Frisch et al. 2014a",166246
ARTHONIACEAE,"Reichlingia sp.","Diederich & Scheid.","New or reinstated (Frisch et al. 2014b)., Molecular: Yes., source: Frisch et al. 2014b",262112
ARTHONIACEAE,"Sporodophoron sp.","Frisch, Y. Ohmura, Ertz & G. Thor","Newor reinstated (Frisch et al. 2015)., Molecular: Yes., source: Frisch et al. 2015",257419
ARTHONIACEAE,"Stirtonia sp.","A.L. Sm.","No change., Molecular: Yes.",51830
ARTHONIACEAE,"Tylophoron sp.","Nyl. ex Stizenb.","New synonymy (Ertz et al. 2014c)., Molecular: Yes., source: Ertz et al. 2014c",104389
ARTHONIALES_FAMILY_INCERTAE_SEDIS,"Angiactis sp.","Aptroot & Sparrius","Changed classification (this paper)., Molecular: No., Notes. Classification changed due to lack of molecular data.",258035
ARTHONIALES_FAMILY_INCERTAE_SEDIS,"Bactrospora sp.","A. Massal.","Changed classification (this paper)., Molecular: No., Notes. Classification changed due to lack of molecular data.",52171
ARTHONIALES_FAMILY_INCERTAE_SEDIS,"Bryostigma sp.","Poelt & Döbbeler","New or reinstated (Poelt & Doebbeler 1979; Sundin et al. 2012; Frisch et al. 2014a)., Molecular: Yes., Notes. The genus was placed in synonymy with Trachylia Fr. by Sundin et al. 2012 but later reinstated (Frisch et al. 2014a)., source: Frisch et al. 2014a",124682
ARTHONIALES_FAMILY_INCERTAE_SEDIS,"Catarraphia sp.","A. Massal.","No change., Molecular: No.",139357
ARTHONIALES_FAMILY_INCERTAE_SEDIS,"Felipes sp.","Frisch & G. Thor","New or reinstated and new synonymy (Frisch et al. 2014a; Jaklitsch et al. 2016a; this paper)., Molecular: Yes., source: Frisch et al. 2014a; Jaklitsch et al. 2016a; this paper",261502
ARTHONIALES_FAMILY_INCERTAE_SEDIS,"Glyphopsis sp.",Aptroot,"New or reinstated (Aptroot 2014)., Molecular: No., source: Aptroot 2014",262173
ARTHONIALES_FAMILY_INCERTAE_SEDIS,"Gossypiothallon sp.",Aptroot,"New or reinstated (Aptroot 2014)., Molecular: No., source: Aptroot 2014",262174
ARTHONIALES_FAMILY_INCERTAE_SEDIS,"Helminthocarpon sp.",Fée,"New or reinstated (Staiger 2002)., Molecular: Yes., source: Staiger 2002",51888
ARTHONIALES_FAMILY_INCERTAE_SEDIS,"Hormosphaeria sp.",Lév.,"No change., Molecular: No.",235494
ARTHONIALES_FAMILY_INCERTAE_SEDIS,"Minksia sp.","Müll. Arg.","Changed classification (this paper)., Molecular: No., Notes. Classification changed due to lack of molecular data.",162573
ARTHONIALES_FAMILY_INCERTAE_SEDIS,"Phoebus sp.","R.C. Harris & Ladd","Changed classification (this paper)., Molecular: No., Notes. Classification changed due to lack of molecular data.",124771
ARTHONIALES_FAMILY_INCERTAE_SEDIS,"Sporostigma sp.",Grube,"Changed classification (this paper)., Molecular: No., Notes. Classification changed due to lack of molecular data.",124795
ARTHONIALES_FAMILY_INCERTAE_SEDIS,"Synarthonia sp.","Müll. Arg.","No change., Molecular: No.",186022
ARTHONIALES_FAMILY_INCERTAE_SEDIS,"Synarthothelium sp.",Sparrius,"Changed classification (this paper). Notes., Molecular: No., Notes. Classification changed due to lack of molecular data.",262175
ARTHONIALES_FAMILY_INCERTAE_SEDIS,"Tarbertia sp.",Dennis,"No change., Molecular: No.",262176
ARTHONIALES_FAMILY_INCERTAE_SEDIS,"Tylophorella sp.",Vain.,"No change., Molecular: No.",188581
ARTHRORHAPHIDACEAE,"Arthrorhaphis sp.","Th. Fr.","Changed classification (Miądlikowska et al. 2014)., Molecular: Yes., source: Miądlikowska et al. 2014",52200
ATHELIACEAE,"Athelia sp.",Pers.,"No change., Molecular: Yes.",52275
ATHELIACEAE,"Athelopsis sp.","Oberw. ex Parmasto","No change., Molecular: Yes.",132937
BAEOMYCETACEAE,"Ainoa sp.","Lumbsch & I. Schmitt","No change., Molecular: Yes.",129371
BAEOMYCETACEAE,"Anamylopsora sp.",Timdal,"Changed classification (Resl et al. 2015)., Molecular: Yes., source: Resl et al. 2015",124670
BAEOMYCETACEAE,"Baeomyces sp.",Pers.,"No change., Molecular: Yes.",52141
BAEOMYCETACEAE,"Parainoa sp.","Resl & T. Sprib.","New or reinstated (Resl et al. 2015)., Molecular: Yes., source: Resl et al. 2015",262448
BAEOMYCETACEAE,"Phyllobaeis sp.","Kalb & Gierl","No change., Molecular: Yes.",173064
BIATORELLACEAE,"Biatorella sp.","De Not.","No change., Molecular: No.",51941
BRIGANTIAEACEAE,"Brigantiaea sp.",Trevis.,"Changed classification (Gaya et al. 2012)., Molecular: Yes., source: Gaya et al. 2012",51943
CALICIACEAE,"Acolium sp.","(Ach.) Grev.","Changed classification (Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016)., Molecular: Yes., source: Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016",129226
CALICIACEAE,"Acroscyphus sp.",Lév.,"Changed classification (Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016)., Molecular: Yes., source: Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016",51833
CALICIACEAE,"Allocalicium sp.","M. Prieto & Wedin","New or reinstated (Prieto & Wedin 2016)., Molecular: Yes., source: Prieto & Wedin 2016",257803
CALICIACEAE,"Amandinea sp.","M. Choisy ex Scheid. & H. Mayrhofer","Changed classification (Gaya et al. 2012; Prieto et al. 2013;Prieto & Wedin 2016). 383, Molecular: Yes., source: Gaya et al. 2012; Prieto et al. 2013;Prieto & Wedin 2016",52082
CALICIACEAE,"Australiaena sp.","Matzer, H. Mayrhofer & Elix","Changed classification (Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016)., Molecular: Yes., source: Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016",257940
